Air travel,Healthcare,Sports events and broadcasting,National election and politics,Communications and technology,Securities lawsuits,Finance and business,Crime bulletin,Economic outlook,Sports news,Automobile economics,Tobacco,Asian News,Mergers and acquisitions,Agricultural economics,Family economics,Personal finance,Food corporations,Animal deaths,Food supply,Bioterrorism threats,Patino laboratory microbes,Hacking,Arms trafficking,Money Laundering,Dirty Bomb
1,0.0245,0.0345,0.013,0.6066,0.038,0.0103,0.02256,0.02936,0.02636,0.6281,0.03564,0.61037,0.03514,0.02977,0.0105,0.022149,0.0113,0.01012,0.0198,0.01512,0.01372,0.01678,0.01977,0.0013,0.0537
0.0245,1,0.01134,0.273,0.2476,0.2008,0.247,0.2137,0.7466,0.0195,0.0344,0.2825,0.01665,0.01397,0.567,0.589,0.816,0.01512,0.0113,0.2351,0.01398,0.01647,0.0192,0.01414,0.0139,0.0387
0.0345,0.01134,1,0.02028,0.09487,0.02322,0.021345,0.02562,0.0134,0.69009,0.06989,0.028705,0.01307,0.01673,0.0333,0.0224,0.0193,0.01414,0.0148,0.0218,0.0191,0.01306,0.02242,0.01358,0.01538,0.0277
0.013,0.273,0.02028,1,0.0115,0.0201,0.029,0.6028,0.0826,0.01592,0.09987,0.4556,0.02129,0.07637,0.0826,0.07271,0.02782,0.01125,0.02314,0.01658,0.0396,0.01363,0.0351,0.01433,0.00221,0.0264
0.6066,0.2476,0.09487,0.0115,1,0.02242,0.8864,0.0102,0.09012,0.01445,0.6555,0.02599,0.6763,0.06565,0.0354,0.0332,0.09423,0.0179,0.03735,0.02301,0.01228,0.03514,0.0243,0.03426,0.02293,0.01438
0.038,0.2008,0.02322,0.0201,0.02242,1,0.6581,0.3078,0.6065,0.02209,0.206,0.0197,0.08066,0.4394,0.2069,0.2696,0.5175,0.30636,0.0179,0.023,0.0191,0.0261,0.0234,0.02404,0.02566,0.0227
0.0103,0.247,0.021345,0.029,0.8864,0.6581,1,0.01447,0.5732,0.0975,0.08925,0.08286,0.09122,0.5613,0.3097,0.3995,0.52822,0.33358,0.02468,0.01782,0.02128,0.021804,0.01119,0.02399,0.02357,0.02167
0.02256,0.2137,0.02562,0.6028,0.0102,0.3078,0.01447,1,0.01377,0.02422,0.02956,0.5467,0.01234,0.02397,0.02424,0.02209,0.01456,0.0112,0.30636,0.33358,0.316,0.217,0.2126,0.2584,0.337,0.2739
0.02936,0.7466,0.0134,0.0826,0.09012,0.6065,0.5732,0.01377,1,0.02241,0.2112,0.01546,0.301,0.52693,0.302,0.339,0.5589,0.3897,0.0148,0.0218,0.0191,0.01306,0.02242,0.01358,0.01538,0.0277
0.02636,0.0195,0.69009,0.01592,0.01445,0.02209,0.0975,0.02422,0.02241,1,0.02731,0.01454,0.02345,0.01865,0.01678,0.01164,0.01822,0.01306,0.02314,0.01658,0.0396,0.01363,0.0351,0.01433,0.00221,0.0264
0.6281,0.0344,0.06989,0.09987,0.6555,0.206,0.08925,0.02956,0.2112,0.02731,1,0.0142,0.61655,0.34237,0.3647,0.3099,0.2386,0.0191,0.03735,0.02301,0.01228,0.03514,0.0243,0.03426,0.02293,0.01438
0.03564,0.2825,0.028705,0.4556,0.02599,0.0197,0.08286,0.5467,0.01546,0.01454,0.0142,1,0.0176,0.0112,0.022412,0.02731,0.02642,0.01112,0.0179,0.023,0.0191,0.0261,0.0234,0.02404,0.02566,0.0227
0.61037,0.01665,0.01307,0.02129,0.6763,0.08066,0.09122,0.01234,0.301,0.02345,0.61655,0.0176,1,0.09752,0.08264,0.08264,0.06606,0.01397,0.02468,0.01782,0.02128,0.021804,0.01119,0.02399,0.02357,0.02167
0.03514,0.01397,0.01673,0.07637,0.06565,0.4394,0.5613,0.02397,0.52693,0.01865,0.34237,0.0112,0.09752,1,0.3897,0.3323,0.4998,0.4413,0.0148,0.0218,0.0191,0.01306,0.02242,0.01358,0.01538,0.0277
0.02977,0.567,0.0333,0.0826,0.0354,0.2069,0.3097,0.02424,0.302,0.01678,0.3647,0.022412,0.08902,0.3897,1,0.5311,0.4812,0.1552,0.02314,0.01658,0.0396,0.01363,0.0351,0.01433,0.00221,0.0264
0.0105,0.589,0.0224,0.07271,0.0332,0.2696,0.3995,0.02209,0.339,0.01164,0.3099,0.02731,0.08264,0.3323,0.5311,1,0.517,0.1792,0.03735,0.02301,0.01228,0.03514,0.0243,0.03426,0.02293,0.01438
0.022149,0.816,0.0193,0.02782,0.09423,0.5175,0.52822,0.01456,0.5589,0.01822,0.2386,0.02642,0.06606,0.4998,0.4812,0.517,1,0.2442,0.02468,0.01782,0.02128,0.021804,0.01119,0.02399,0.02357,0.02167
0.0113,0.01512,0.01414,0.01125,0.0179,0.30636,0.33358,0.0112,0.3897,0.01306,0.0191,0.01112,0.01397,0.4413,0.1552,0.1792,0.2442,1,0.0261,0.01438,0.01119,0.01538,0.01438,0.00221,0.02242,0.0051
0.01012,0.0113,0.0148,0.02314,0.03735,0.0179,0.02468,0.30636,0.0148,0.02314,0.03735,0.0179,0.02468,0.0148,0.02314,0.03735,0.02468,0.0261,1,0.8712,0.7644,0.7413,0.6733,0.6542,0.6818,0.65003
0.0198,0.2351,0.0218,0.01658,0.02301,0.023,0.01782,0.33358,0.0218,0.01658,0.02301,0.023,0.01782,0.0218,0.01658,0.02301,0.01782,0.01438,0.8712,1,0.7582,0.7348,0.56384,0.6648,0.5198,0.68809
0.01512,0.01398,0.0191,0.0396,0.01228,0.0191,0.02128,0.316,0.0191,0.0396,0.01228,0.0191,0.02128,0.0191,0.0396,0.01228,0.02128,0.01119,0.7644,0.7582,1,0.8557,0.6156,0.548,0.5095,0.6747
0.01372,0.01647,0.01306,0.01363,0.03514,0.0261,0.021804,0.217,0.01306,0.01363,0.03514,0.0261,0.021804,0.01306,0.01363,0.03514,0.021804,0.01538,0.7413,0.7348,0.8557,1,0.54057,0.66254,0.55422,0.683464
0.01678,0.0192,0.02242,0.0351,0.0243,0.0234,0.01119,0.2126,0.02242,0.0351,0.0243,0.0234,0.01119,0.02242,0.0351,0.0243,0.01119,0.01438,0.6733,0.56384,0.6156,0.54057,1,0.70635,0.70635,0.72732
0.01977,0.01414,0.01358,0.01433,0.03426,0.02404,0.02399,0.2584,0.01358,0.01433,0.03426,0.02404,0.02399,0.01358,0.01433,0.03426,0.02399,0.00221,0.6542,0.6648,0.548,0.66254,0.70635,1,0.707173,0.867065
0.0013,0.0139,0.01538,0.00221,0.02293,0.02566,0.02357,0.337,0.01538,0.00221,0.02293,0.02566,0.02357,0.01538,0.00221,0.02293,0.02357,0.02242,0.6818,0.5198,0.5095,0.55422,0.85898,0.707173,1,0.711133
0.0537,0.0387,0.0277,0.0264,0.01438,0.0227,0.02167,0.2739,0.0277,0.0264,0.01438,0.0227,0.02167,0.0277,0.0264,0.01438,0.02167,0.0051,0.65003,0.68809,0.6747,0.683464,0.72732,0.867065,0.711133,1